breaking news : pss sleman tahan imbang kalteng putra, peluang lolos ke final liga 2 terbuka lebar ;1
wkt pulang dr jogja mau share foto ini tapi lupa.... ğŸ¤£ ;0
link live streaming useetv liga 2 2018 kalteng putra vs pss sleman, super elja tak gentar ;0
siaran pers 24 november 2018, mengenai kejadian guguran lava di #merapi dpt disimak dalam info grafis berikut. ;0
breaking news : waspada, empat kali guguran lava merapi mengarah hulu kali gendol ;-1
"pelatih pss sleman syukuri hasil imbang lawan kalteng putra, ""leg kedua kami harus menang"" ";1
selamat hari guru nasional. tetaplah menjadi pelita penerang anak-anak bangsa, dan menjadi sosok inspiratif yang se ;1
keutamaan dan doa puasa sunnah senin kamis bagi umat muslim ;1
pss sleman tahan imbang kalteng putra di palangkaraya dengan skor 0-0  ;1
raih satu poin di kandang kalteng putra, ini kata pelatih pss sleman  ;1
pesawat garuda indonesia tergelincir di ujung landas pacu di bandara adisutjipto yogyakarta ;-1
kalteng putra vs pss sleman, cristian gonzales diragukan tampil ;-1
"berikut hari libur nasional &amp; cuti bersama tahun2019.  agendakan liburanmu ke jogja dengan baik nggih ğŸ™  sumber: ";1
bagi yg nembakin burung, kasihan woiii ... jogja masih berhati nyaman kan. mari kita nikmati keindahan siklus alam ;-1
ribuan burung layang-layang asia bermigrasi ke selatan dan singgah di jogja untuk menghindari cuaca dingin ekstrem ;0
kita sampai jogja sekitar jam 16.30!  bakal ada sesuatu yang special, ada yang bisa tebak?ğŸ˜› #jkt48ontrain @kai121 ;0
di jogja ngapain aja dari kemarin? @cindvia_jkt48: jajan makanan khas jogja. @melati_jkt48: nyobain kolam renang jo ;0
maturnuwun nggih jogja buat 2 hari yang menyenangkan ini!! selalu senang kalo pulang, kalian terbaikkâ¤ï¸ ;1
press conference pemilihan member single ke-20 jkt48 di atrium jogja city mall. ;0
ketemu di jogja city mall yaaa guyz ;0
sebentar lagi sampai jogja!  nanti ada sesuatu yang special loh, kira2 apa ya?ğŸ–¤ #jkt48ontrain @kai121 @keretaapikita ;0
otw jogja! #jkt48ontrain @kai121 @keretaapikita ;0
lur, terutama di jateng, jogja dan khususnya magelang jangan ke stadion dulu ya.  kita masih dalam masa hukuman, ba ;0
daftar 10 warung mie ayam murah dan enak di yogyakarta ;1
thankyou jogja. bisa ke jogja lagi nggak ya? i hope so! next stop surabayaâ¤ï¸;1
thank you untuk pre event nya di jogja! semangat manteman~ ku doakan yang terbaik. semoga team t banyak yang terpil ;1
ini ada video.. yang waktu itu.. hehehe part 1,nanti part 2 gabungan sama yang kemarin jalan2 bareng ka jinan.. heh ;0
susu untuk hari yang lebi baik~ sekarang lagi dijalan ke jogja! aku duduk sama ci @n_shanijkt48! seru banget klo na ;0
both shoplifters and one cut of the dead will be screened in indonesia in jogja-netpac asian film festival (jaff) ;0
di kereta sebelahan bangku sama dik peni. pengalaman pertama nih, ke jogja naik kereta. seruuuâ¤ï¸ #jkt48ontrain ;0