tahun,kode_provinsi,nama_provinsi,luas_panen,produktivitas,produksi,latitude,longitude
2007,1400,Prov. Riau,147167,33.3,490087,0.4816667,101.4686
2007,1500,Prov. Jambi,149888,39.14,58663,-1.589167,103.61
2007,1600,Prov. Sumatera Selatan,691467,39.81,2753044,-2.990833,104.7567
2007,1700,Prov. Bengkulu,123853,37.99,470469,-3.795556,102.2592
2007,1800,Prov. Lampung,524955,43.97,2308404,-5.429722,105.2625
2007,1900,Prov. Kepulauan Bangka Belitung,901,27.07,2439,-2.1,106.1
2007,2100,Prov. Kepulauan Riau,117,29.32,343,1.083333,104.4833
2007,3100,Prov. DKI Jakarta,1544,51.83,8002,-6.183333,106.8333
2007,3200,Prov. Jawa Barat,1829085,54.2,9914019,-6.914722,107.6097
2007,3300,Prov. Jawa Tengah,1614098,53.38,8616855,-6.966667,110.4167
2007,3400,Prov. D I Yogyakarta,133369,53.18,709294,-7.801389,110.3644
2007,3500,Prov. Jawa Timur,1736048,54.16,9402029,-7.266667,112.7167
2007,3600,Prov. Banten,356803,50.9,1816140,-6.12,106.1503
2007,5100,Prov. Bali,14503,57.9,839775,-8.65,115.2167
2007,5200,Prov. Nusa Tenggara Barat,331916,45.99,1526347,-8.583333,116.1167
2007,5300,Prov. Nusa Tenggara Timur,166753,30.32,505628,-10.18333,123.5833
2007,6100,Prov. Kalimantan Barat,399832,30.64,1225259,-0.0166667,109.3333
2007,6200,Prov. Kalimantan Tengah,229665,24.49,562473,-2.21,113.92
2007,6300,Prov. Kalimantan Selatan,505846,38.63,1953868,-3.314444,114.5925
2007,6400,Prov. Kalimantan Timur,155484,36.5,567501,-0.5022222,117.1536
2007,7100,Prov. Sulawesi Utara,103189,47.97,49495,1.493056,124.8414
2007,7200,Prov. Sulawesi Tengah,204342,41.96,857508,-0.9,119.8333
2007,7300,Prov. Sulawesi Selatan,770733,47.16,3635139,-5.133333,119.4167
2007,7400,Prov. Sulawesi Tenggara,110498,38.31,423316,-3.9675,122.5947
2007,7500,Prov. Gorontalo,44548,44.99,200421,0.5333334,123.0667
2007,7600,Prov. Sulawesi Barat,6663,46.93,312676,-2.668611,118.8622
2007,8100,Prov. Maluku,15352,37.21,57132,-3.7,128.1667
2007,8200,Prov. Maluku Utara,14497,33.48,48531,0.7833334,127.3667
2007,9100,Prov. Papua Barat,8357,33.75,28204,-0.8666667,134.0833
2007,9400,Prov. Papua,22957,35.58,81678,-2.533056,140.7169
2008,1100,Prov. Nanggroe Aceh Darussalam,329109,42.61,1402287,5.55,95.31667
2008,1200,Prov. Sumatera Utara,748540,44.63,3340794,3.583333,98.66666
2008,1300,Prov. Sumatera Barat,421902,46.59,1965634,-0.95,100.3531
2008,1400,Prov. Riau,147796,33.44,494260,0.4816667,101.4686
2008,1500,Prov. Jambi,143034,40.67,581704,-1.589167,103.61
2008,1600,Prov. Sumatera Selatan,718797,41.34,2971286,-2.990833,104.7567
2008,1700,Prov. Bengkulu,127506,38.03,484900,-3.795556,102.2592
2008,1800,Prov. Lampung,506547,46.22,2341075,-5.429722,105.2625
2008,1900,Prov. Kepulauan Bangka Belitung,6266,24.06,15079,-2.1,106.1
2008,2100,Prov. Kepulauan Riau,134,30.15,404,1.083333,104.4833
2008,3100,Prov. DKI Jakarta,1640,50.93,8352,-6.183333,106.8333
2008,3200,Prov. Jawa Barat,1803628,56.06,10111069,-6.914722,107.6097
2008,3300,Prov. Jawa Tengah,1659314,55.06,9136405,-6.966667,110.4167
2008,3400,Prov. D I Yogyakarta,140167,56.95,798232,-7.801389,110.3644
2008,3500,Prov. Jawa Timur,1774884,59.02,10474773,-7.266667,112.7167
2008,3600,Prov. Banten,362637,50.14,1818166,-6.12,106.1503
2008,5100,Prov. Bali,143999,58.37,840465,-8.65,115.2167
2008,5200,Prov. Nusa Tenggara Barat,359714,48.67,1750677,-8.583333,116.1167
2008,5300,Prov. Nusa Tenggara Timur,187907,30.75,577895,-10.18333,123.5833
2008,6100,Prov. Kalimantan Barat,423601,31.2,1321443,-0.0166667,109.3333
2008,6200,Prov. Kalimantan Tengah,205684,25.41,522732,-2.21,113.92
2008,6300,Prov. Kalimantan Selatan,507319,38.52,1954284,-3.314444,114.5925
2008,6400,Prov. Kalimantan Timur,157341,37.25,586031,-0.5022222,117.1536
2008,7100,Prov. Sulawesi Utara,109951,47.31,520193,1.493056,124.8414
2008,7200,Prov. Sulawesi Tengah,211876,46.51,985418,-0.9,119.8333
2008,7300,Prov. Sulawesi Selatan,836298,48.83,4083356,-5.133333,119.4167
2008,7400,Prov. Sulawesi Tenggara,102520,39.53,405256,-3.9675,122.5947
2008,7500,Prov. Gorontalo,46942,50.67,237873,0.5333334,123.0667
2008,7600,Prov. Sulawesi Barat,72471,47.36,343221,-2.668611,118.8622
2008,8100,Prov. Maluku,19142,39.61,75826,-3.7,128.1667
2008,8200,Prov. Maluku Utara,14831,34.79,51599,0.7833334,127.3667
2008,9100,Prov. Papua Barat,11467,34.48,39537,-0.8666667,134.0833
2008,9400,Prov. Papua,24461,35.03,85699,-2.533056,140.7169
2009,1100,Prov. Nanggroe Aceh Darussalam,359375,43.32,1556858,5.55,95.31667
2009,1200,Prov. Sumatera Utara,768407,45.91,3527899,3.583333,98.66666
2009,1300,Prov. Sumatera Barat,439542,47.91,2105790,-0.95,100.3531
2009,1400,Prov. Riau,149423,35.57,531429,0.4816667,101.4686
2009,1500,Prov. Jambi,155802,41.4,644947,-1.589167,103.61
2009,1600,Prov. Sumatera Selatan,746465,41.87,3125236,-2.990833,104.7567
2009,1700,Prov. Bengkulu,132975,38.37,510160,-3.795556,102.2592
2009,1800,Prov. Lampung,570417,46.88,2673844,-5.429722,105.2625
2009,1900,Prov. Kepulauan Bangka Belitung,8063,24.64,19864,-2.1,106.1
2009,2100,Prov. Kepulauan Riau,144,29.86,430,1.083333,104.4833
2009,3100,Prov. DKI Jakarta,1974,55.79,11013,-6.183333,106.8333
2009,3200,Prov. Jawa Barat,1950203,58.06,11322681,-6.914722,107.6097
2009,3300,Prov. Jawa Tengah,1725034,55.65,9600415,-6.966667,110.4167
2009,3400,Prov. D I Yogyakarta,145424,57.62,837930,-7.801389,110.3644
2009,3500,Prov. Jawa Timur,1904830,59.11,11259085,-7.266667,112.7167
2009,3600,Prov. Banten,366138,50.5,1849007,-6.12,106.1503
2009,5100,Prov. Bali,150283,58.47,878764,-8.65,115.2167
2009,5200,Prov. Nusa Tenggara Barat,374279,49.98,1870775,-8.583333,116.1167
2009,5300,Prov. Nusa Tenggara Timur,194219,31.27,607359,-10.18333,123.5833
2009,6100,Prov. Kalimantan Barat,418929,31.05,1300798,-0.0166667,109.3333
2009,6200,Prov. Kalimantan Tengah,214480,26.98,578761,-2.21,113.92
2009,6300,Prov. Kalimantan Selatan,490069,39.93,1956993,-3.314444,114.5925
2009,6400,Prov. Kalimantan Timur,146177,38.01,555560,-0.5022222,117.1536
2009,7100,Prov. Sulawesi Utara,114745,47.85,549087,1.493056,124.8414
2009,7200,Prov. Sulawesi Tengah,211232,45.14,953396,-0.9,119.8333
2009,7300,Prov. Sulawesi Selatan,862017,50.16,4324178,-5.133333,119.4167
2009,7400,Prov. Sulawesi Tenggara,98130,41.51,407367,-3.9675,122.5947
2009,7500,Prov. Gorontalo,48042,53.48,256934,0.5333334,123.0667
2009,7600,Prov. Sulawesi Barat,64973,47.82,310706,-2.668611,118.8622
2009,8100,Prov. Maluku,21252,42.29,89875,-3.7,128.1667
2009,8200,Prov. Maluku Utara,13711,33.73,46253,0.7833334,127.3667
2009,9100,Prov. Papua Barat,10486,35.27,36985,-0.8666667,134.0833
2009,9400,Prov. Papua,26336,37.41,98511,-2.533056,140.7169
2010,1100,Prov. Nanggroe Aceh Darussalam,352281,44.92,1582393,5.55,95.31667
2010,1200,Prov. Sumatera Utara,754674,47.47,3582302,3.583333,98.66666
2010,1300,Prov. Sumatera Barat,460497,48.02,2211248,-0.95,100.3531
2010,1400,Prov. Riau,156088,36.83,574864,0.4816667,101.4686
2010,1500,Prov. Jambi,153897,40.86,628828,-1.589167,103.61
2010,1600,Prov. Sumatera Selatan,769478,42.53,3272451,-2.990833,104.7567
2010,1700,Prov. Bengkulu,133629,38.68,516869,-3.795556,102.2592
2010,1800,Prov. Lampung,590608,47.54,2807676,-5.429722,105.2625
2010,1900,Prov. Kepulauan Bangka Belitung,8180,27.21,22259,-2.1,106.1
2010,2100,Prov. Kepulauan Riau,396,31.46,1246,1.083333,104.4833
2010,3100,Prov. DKI Jakarta,2015,55.4,11164,-6.183333,106.8333
2010,3200,Prov. Jawa Barat,2037657,57.6,11737070,-6.914722,107.6097
2010,3300,Prov. Jawa Tengah,1801397,56.13,10110830,-6.966667,110.4167
2010,3400,Prov. D I Yogyakarta,147058,56.02,823887,-7.801389,110.3644
2010,3500,Prov. Jawa Timur,1963983,59.29,11643773,-7.266667,112.7167
2010,3600,Prov. Banten,406411,50.39,2048047,-6.12,106.1503
2010,5100,Prov. Bali,152190,57.11,869161,-8.65,115.2167
2010,5200,Prov. Nusa Tenggara Barat,374284,47.41,1774499,-8.583333,116.1167
2010,5300,Prov. Nusa Tenggara Timur,174674,31.8,555493,-10.18333,123.5833
2010,6100,Prov. Kalimantan Barat,428461,31.37,1343888,-0.0166667,109.3333
2010,6200,Prov. Kalimantan Tengah,247577,26.27,650416,-2.21,113.92
2010,6300,Prov. Kalimantan Selatan,471166,39.1,1842089,-3.314444,114.5925
2010,6400,Prov. Kalimantan Timur,150031,39.25,588879,-0.5022222,117.1536
2010,7100,Prov. Sulawesi Utara,119771,48.76,584030,1.493056,124.8414
2010,7200,Prov. Sulawesi Tengah,208628,45.88,957108,-0.9,119.8333
2010,7300,Prov. Sulawesi Selatan,886354,49.44,4382443,-5.133333,119.4167
2010,7400,Prov. Sulawesi Tenggara,107751,42.19,454644,-3.9675,122.5947
2010,7500,Prov. Gorontalo,45937,55.2,253563,0.5333334,123.0667
2010,7600,Prov. Sulawesi Barat,75923,47.8,362900,-2.668611,118.8622
2010,8100,Prov. Maluku,20233,41.08,83109,-3.7,128.1667
2010,8200,Prov. Maluku Utara,16071,34.47,55401,0.7833334,127.3667
2010,9100,Prov. Papua Barat,9464,36.19,34254,-0.8666667,134.0833
2010,9400,Prov. Papua,26686,38.45,102610,-2.533056,140.7169
2011,1100,Prov. Nanggroe Aceh Darussalam,380686,46.57,1772962,5.55,95.31667
2011,1200,Prov. Sumatera Utara,757547,47.62,3607403,3.583333,98.66666
2011,1300,Prov. Sumatera Barat,461709,49.37,2279602,-0.95,100.3531
2011,1400,Prov. Riau,145242,36.89,535788,0.4816667,101.4686
2011,1500,Prov. Jambi,157441,41.07,646641,-1.589167,103.61
2011,1600,Prov. Sumatera Selatan,784820,43.13,3384670,-2.990833,104.7567
2011,1700,Prov. Bengkulu,127934,39.28,502552,-3.795556,102.2592
2011,1800,Prov. Lampung,606973,48.45,2940795,-5.429722,105.2625
2011,1900,Prov. Kepulauan Bangka Belitung,5299,28.71,15211,-2.1,106.1
2011,2100,Prov. Kepulauan Riau,387,31.6,1223,1.083333,104.4833
2011,3100,Prov. DKI Jakarta,1723,55.23,9516,-6.183333,106.8333
2011,3200,Prov. Jawa Barat,1964466,59.22,11633891,-6.914722,107.6097
2011,3300,Prov. Jawa Tengah,1724246,54.47,9391959,-6.966667,110.4167
2011,3400,Prov. D I Yogyakarta,150827,55.89,842934,-7.801389,110.3644
2011,3500,Prov. Jawa Timur,1926796,54.89,10576543,-7.266667,112.7167
2011,3600,Prov. Banten,397021,49.11,1949714,-6.12,106.1503
2011,5100,Prov. Bali,152585,56.25,858316,-8.65,115.2167
2011,5200,Prov. Nusa Tenggara Barat,418062,49.45,2067137,-8.583333,116.1167
2011,5300,Prov. Nusa Tenggara Timur,195201,30.3,591371,-10.18333,123.5833
2011,6100,Prov. Kalimantan Barat,444353,30.9,1372988,-0.0166667,109.3333
2011,6200,Prov. Kalimantan Tengah,214161,28.49,610236,-2.21,113.92
2011,6300,Prov. Kalimantan Selatan,489134,41.67,2038309,-3.314444,114.5925
2011,6400,Prov. Kalimantan Timur,140215,39.41,552616,-0.5022222,117.1536
2011,7100,Prov. Sulawesi Utara,122108,48.83,596223,1.493056,124.8414
2011,7200,Prov. Sulawesi Tengah,221846,46.96,1041789,-0.9,119.8333
2011,7300,Prov. Sulawesi Selatan,889232,50.74,4511705,-5.133333,119.4167
2011,7400,Prov. Sulawesi Tenggara,118916,41.34,491567,-3.9675,122.5947
2011,7500,Prov. Gorontalo,52811,51.87,273921,0.5333334,123.0667
2011,7600,Prov. Sulawesi Barat,76347,47.9,365683,-2.668611,118.8622
2011,8100,Prov. Maluku,21227,41.21,87468,-3.7,128.1667
2011,8200,Prov. Maluku Utara,16783,36.6,61430,0.7833334,127.3667
2011,9100,Prov. Papua Barat,8283,35.38,29304,-0.8666667,134.0833
2011,9400,Prov. Papua,29262,39.45,115437,-2.533056,140.7169
2012,1100,Prov. Nanggroe Aceh Darussalam,387803,46.12,1788738,5.55,95.31667
2012,1200,Prov. Sumatera Utara,765099,48.56,3715514,3.583333,98.66666
2012,1300,Prov. Sumatera Barat,476422,49.71,2368390,-0.95,100.3531
2012,1400,Prov. Riau,144015,35.56,512152,0.4816667,101.4686
2012,1500,Prov. Jambi,149369,41.85,625164,-1.589167,103.61
2012,1600,Prov. Sumatera Selatan,769725,42.81,3295247,-2.990833,104.7567
2012,1700,Prov. Bengkulu,144448,40.29,581910,-3.795556,102.2592
2012,1800,Prov. Lampung,641876,48.32,3101455,-5.429722,105.2625
2012,1900,Prov. Kepulauan Bangka Belitung,7995,28.01,22395,-2.1,106.1
2012,2100,Prov. Kepulauan Riau,382,34.63,1323,1.083333,104.4833
2012,3100,Prov. DKI Jakarta,1897,58.22,11044,-6.183333,106.8333
2012,3200,Prov. Jawa Barat,1918799,58.74,11271861,-6.914722,107.6097
2012,3300,Prov. Jawa Tengah,1773558,57.7,10232934,-6.966667,110.4167
2012,3400,Prov. D I Yogyakarta,152912,61.88,946224,-7.801389,110.3644
2012,3500,Prov. Jawa Timur,1975719,61.74,12198707,-7.266667,112.7167
2012,3600,Prov. Banten,362636,51.45,1865893,-6.12,106.1503
2012,5100,Prov. Bali,149000,58.09,865553,-8.65,115.2167
2012,5200,Prov. Nusa Tenggara Barat,425448,49.69,2114231,-8.583333,116.1167
2012,5300,Prov. Nusa Tenggara Timur,200094,34.91,698566,-10.18333,123.5833
2012,6100,Prov. Kalimantan Barat,427798,30.39,1300100,-0.0166667,109.3333
2012,6200,Prov. Kalimantan Tengah,251787,30.01,755507,-2.21,113.92
2012,6300,Prov. Kalimantan Selatan,496082,42.05,2086221,-3.314444,114.5925
2012,6400,Prov. Kalimantan Timur,142573,39.42,561959,-0.5022222,117.1536
2012,7100,Prov. Sulawesi Utara,126931,48.46,615062,1.493056,124.8414
2012,7200,Prov. Sulawesi Tengah,229080,44.71,1024316,-0.9,119.8333
2012,7300,Prov. Sulawesi Selatan,981394,50.98,5003011,-5.133333,119.4167
2012,7400,Prov. Sulawesi Tenggara,124511,41.47,516291,-3.9675,122.5947
2012,7500,Prov. Gorontalo,51193,48.01,245786,0.5333334,123.0667
2012,7600,Prov. Sulawesi Barat,83796,49.21,412338,-2.668611,118.8622
2012,8100,Prov. Maluku,20489,41.13,84271,-3.7,128.1667
2012,8200,Prov. Maluku Utara,17794,36.91,65686,0.7833334,127.3667
2012,9100,Prov. Papua Barat,7750,39.03,30245,-0.8666667,134.0833
2012,9400,Prov. Papua,37149,37.16,138032,-2.533056,140.7169
2013,1100,Prov. Nanggroe Aceh Darussalam,419183,46.68,1956940,5.55,95.31667
2013,1200,Prov. Sumatera Utara,742968,50.17,3727249,3.583333,98.66666
2013,1300,Prov. Sumatera Barat,487820,49.82,2430384,-0.95,100.3531
2013,1400,Prov. Riau,118518,36.63,434151,0.4816667,101.4686
2013,1500,Prov. Jambi,153243,43.36,664535,-1.589167,103.61
2013,1600,Prov. Sumatera Selatan,800036,45.96,3676723,-2.990833,104.7567
2013,1700,Prov. Bengkulu,147680,42.17,622832,-3.795556,102.2592
2013,1800,Prov. Lampung,640948,50.28,3222789,-5.429722,105.2625
2013,1900,Prov. Kepulauan Bangka Belitung,10205,27.81,28384,-2.1,106.1
2013,2100,Prov. Kepulauan Riau,379,36.15,1370,1.083333,104.4833
2013,3100,Prov. DKI Jakarta,1744,58.88,10268,-6.183333,106.8333
2013,3200,Prov. Jawa Barat,2029891,59.53,12083162,-6.914722,107.6097
2013,3300,Prov. Jawa Tengah,1845447,56.06,10344816,-6.966667,110.4167
2013,3400,Prov. D I Yogyakarta,159266,57.88,921824,-7.801389,110.3644
2013,3500,Prov. Jawa Timur,2037021,59.15,12049342,-7.266667,112.7167
2013,3600,Prov. Banten,393704,52.92,2083608,-6.12,106.1503
2013,5100,Prov. Bali,150380,58.66,882115,-8.65,115.2167
2013,5200,Prov. Nusa Tenggara Barat,438057,50.08,2193698,-8.583333,116.1167
2013,5300,Prov. Nusa Tenggara Timur,222469,32.8,729666,-10.18333,123.5833
2013,6100,Prov. Kalimantan Barat,464615,31.01,1440902,-0.0166667,109.3333
2013,6200,Prov. Kalimantan Tengah,247217,32.81,811211,-2.21,113.92
2013,6300,Prov. Kalimantan Selatan,479721,42.34,2031029,-3.314444,114.5925
2013,6400,Prov. Kalimantan Timur,138768,40.63,563850,-0.5022222,117.1536
2013,7100,Prov. Sulawesi Utara,127413,50.1,638373,1.493056,124.8414
2013,7200,Prov. Sulawesi Tengah,224317,45.98,1031324,-0.9,119.8333
2013,7300,Prov. Sulawesi Selatan,983107,51.22,5035830,-5.133333,119.4167
2013,7400,Prov. Sulawesi Tenggara,132945,42.23,561361,-3.9675,122.5947
2013,7500,Prov. Gorontalo,56894,52.01,295913,0.5333334,123.0667
2013,7600,Prov. Sulawesi Barat,91035,48.79,444203,-2.668611,118.8622
2013,8100,Prov. Maluku,24399,41.74,101835,-3.7,128.1667
2013,8200,Prov. Maluku Utara,19281,37.57,72445,0.7833334,127.3667
2013,9100,Prov. Papua Barat,7431,39.8,29572,-0.8666667,134.0833
2013,9400,Prov. Papua,41111,41.3,169790,-2.533056,140.7169
